Image Path,Caption
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_0.jpg,a painting of a bird flying in the sky
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_1.jpg,a painting of a bird with the words albatross
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_10.jpg,a painting of a bird flying over the ocean
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_11.jpg,a painting of a black and white bird sitting on a rock
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_12.jpg,a painting of a bird on a white background
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_13.jpg,a painting of a bird flying in the sky
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_14.jpg,a painting of a duck on the water
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_2.jpg,a painting of a bird flying in the sky
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_3.jpg,a painting of two birds standing next to each other
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_4.jpg,a painting of a seagull standing on the beach
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_6.jpg,a painting of a bird flying over the ocean
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_7.jpg,a painting of a bird with the word albatross on it
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_8.jpg,a painting of a bird flying
./data/CUB-200-Painting/001.Black_footed_Albatross/Black_footed_Albatross_9.jpg,a painting of a pelican flying over the ocean
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_0.jpg,a painting of a seagull sitting on a rock
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_10.jpg,a painting of a seagull on a white background
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_11.jpg,a painting of a seagull with a yellow beak
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_12.jpg,a painting of two white and black birds
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_13.jpg,a painting of a bird swimming in the water
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_14.jpg,a painting of an eagle on a white background
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_15.jpg,a painting of a bird sitting on the ground
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_16.jpg,a painting of a bird flying over the ocean
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_2.jpg,a painting of two birds standing on a white background
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_3.jpg,a painting of four birds standing on their legs
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_4.jpg,a painting of a seagull standing on a rock
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_5.jpg,a painting of a bird flying in the sky
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_6.jpg,a painting of a seagull on a white background
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_7.jpg,a painting of a black and white bird flying
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_8.jpg,a painting of two birds on a postage stamp
./data/CUB-200-Painting/002.Laysan_Albatross/Laysan_Albatross_9.jpg,a painting of a seagull in purple watercolor
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_0.jpg,a painting of a seagull on the beach canvas print
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_1.jpg,a painting of three birds flying in the air
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_10.jpg,a painting of a bird with a long beak
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_11.jpg,a painting of a black bird with a white background
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_12.jpg,a painting of a bird in the water
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_13.jpg,"a painting of a bird with the words ""sooty albatross"""
